solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,trotters,feasible,minla_cost,lower_bound,approx_ratio,time_s,gamma
OpenJijSA,10,26,100,123,1000,1e-09,1.0,1,True,72.0,54.000000000000014,1.333333333333333,0.027,0.0
OpenJijSA,10,26,100,456,1000,1e-09,1.0,1,False,,54.000000000000014,,0.027,0.0
OpenJijSA,10,26,100,789,1000,1e-09,1.0,1,True,70.0,54.000000000000014,1.296296296296296,0.027,0.0
OpenJijSA,10,26,100,999,1000,1e-09,1.0,1,True,78.0,54.000000000000014,1.444444444444444,0.035,0.0
OpenJijSA,10,26,100,42,1000,1e-09,5.0,1,True,82.0,54.000000000000014,1.5185185185185182,0.03,0.0
OpenJijSA,10,26,100,123,1000,1e-09,5.0,1,True,88.0,54.000000000000014,1.629629629629629,0.026,0.0
OpenJijSA,10,26,100,456,1000,1e-09,5.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.026,0.0
OpenJijSA,10,26,100,789,1000,1e-09,5.0,1,True,84.0,54.000000000000014,1.5555555555555551,0.027,0.0
OpenJijSA,10,26,100,999,1000,1e-09,5.0,1,True,67.0,54.000000000000014,1.2407407407407405,0.026,0.0
OpenJijSA,10,26,100,42,1000,1e-09,10.0,1,True,67.0,54.000000000000014,1.2407407407407405,0.026,0.0
OpenJijSA,10,26,100,123,1000,1e-09,10.0,1,True,77.0,54.000000000000014,1.4259259259259256,0.025,0.0
OpenJijSA,10,26,100,456,1000,1e-09,10.0,1,True,71.0,54.000000000000014,1.3148148148148144,0.026,0.0
OpenJijSA,10,26,100,789,1000,1e-09,10.0,1,True,66.0,54.000000000000014,1.222222222222222,0.025,0.0
OpenJijSA,10,26,100,999,1000,1e-09,10.0,1,False,,54.000000000000014,,0.026,0.0
OpenJijSA,10,26,100,42,1000,0.01,0.1,1,False,,54.000000000000014,,0.037,0.0
OpenJijSA,10,26,100,123,1000,0.01,0.1,1,False,,54.000000000000014,,0.037,0.0
OpenJijSA,10,26,100,456,1000,0.01,0.1,1,False,,54.000000000000014,,0.037,0.0
OpenJijSA,10,26,100,789,1000,0.01,0.1,1,False,,54.000000000000014,,0.037,0.0
OpenJijSA,10,26,100,999,1000,0.01,0.1,1,False,,54.000000000000014,,0.037,0.0
OpenJijSA,10,26,100,42,1000,0.01,0.3,1,False,,54.000000000000014,,0.032,0.0
OpenJijSA,10,26,100,123,1000,0.01,0.3,1,False,,54.000000000000014,,0.032,0.0
OpenJijSA,10,26,100,456,1000,0.01,0.3,1,False,,54.000000000000014,,0.032,0.0
OpenJijSA,10,26,100,789,1000,0.01,0.3,1,False,,54.000000000000014,,0.032,0.0
