solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.5,0.5,geometric,True,71.0,54.000000000000014,1.3148148148148144,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.5,0.5,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.5,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.5,1.0,linear,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.5,1.0,linear,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.5,1.0,linear,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.5,1.0,linear,True,68.0,54.000000000000014,1.2592592592592589,0.001
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.5,1.0,geometric,True,72.0,54.000000000000014,1.333333333333333,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.5,1.0,geometric,True,71.0,54.000000000000014,1.3148148148148144,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.5,1.0,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.5,1.0,geometric,True,67.0,54.000000000000014,1.2407407407407405,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.5,1.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.5,5.0,linear,True,80.0,54.000000000000014,1.4814814814814812,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.5,5.0,linear,True,85.0,54.000000000000014,1.5740740740740735,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.5,5.0,linear,True,73.0,54.000000000000014,1.3518518518518514,0.001
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.5,5.0,linear,True,71.0,54.000000000000014,1.3148148148148144,0.001
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.5,5.0,linear,True,77.0,54.000000000000014,1.4259259259259256,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.5,5.0,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.5,5.0,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.5,5.0,geometric,True,72.0,54.000000000000014,1.333333333333333,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.5,5.0,geometric,True,75.0,54.000000000000014,1.3888888888888886,0.001
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.5,5.0,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.5,10.0,linear,True,96.0,54.000000000000014,1.7777777777777772,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.5,10.0,linear,True,90.0,54.000000000000014,1.6666666666666663,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.5,10.0,linear,True,87.0,54.000000000000014,1.6111111111111107,0.002
