solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,500,0.001,10.0,1,0.0,0.36,1.5317663817663816,0.058920000000000014,25
OpenJijSA,500,0.001,100.0,1,0.0,0.2,1.4533333333333331,0.05424,25
OpenJijSA,500,0.001,1000.0,1,0.0,0.28,1.553205128205128,0.052320000000000005,25
OpenJijSA,500,0.001,10000.0,1,0.0,0.28,1.4083333333333332,0.04972000000000001,25
OpenJijSA,500,0.001,100000.0,1,0.0,0.24,1.5209876543209875,0.047439999999999996,25
OpenJijSA,500,0.001,1000000.0,1,0.0,0.2,1.4885185185185184,0.046439999999999995,25
OpenJijSA,500,0.001,10000000.0,1,0.0,0.24,1.4719254510921171,0.045360000000000004,25
OpenJijSA,500,0.001,100000000.0,1,0.0,0.24,1.5891619183285848,0.04472,25
OpenJijSA,500,0.001,1000000000.0,1,0.0,0.16,1.5192129629629627,0.04412,25
OpenJijSA,500,0.01,0.01,1,0.0,0.0,,0.08152000000000001,25
OpenJijSA,500,0.01,0.1,1,0.0,0.0,,0.068,25
OpenJijSA,500,0.01,0.3,1,0.0,0.0,,0.060520000000000004,25
OpenJijSA,500,0.01,0.5,1,0.0,0.08,1.3425925925925921,0.05776,25
OpenJijSA,500,0.01,1.0,1,0.0,0.36,1.496367521367521,0.0548,25
OpenJijSA,500,0.01,5.0,1,0.0,0.24,1.503086419753086,0.0502,25
OpenJijSA,500,0.01,10.0,1,0.0,0.36,1.431813865147198,0.050280000000000005,25
OpenJijSA,500,0.01,100.0,1,0.0,0.32,1.4309740028490026,0.04872,25
OpenJijSA,500,0.01,1000.0,1,0.0,0.16,1.6320334757834751,0.04552,25
OpenJijSA,500,0.01,10000.0,1,0.0,0.12,1.3148148148148147,0.04396,25
OpenJijSA,500,0.01,100000.0,1,0.0,0.28,1.4297619047619043,0.04336,25
OpenJijSA,500,0.01,1000000.0,1,0.0,0.32,1.437037037037037,0.042879999999999995,25
OpenJijSA,500,0.01,10000000.0,1,0.0,0.16,1.4386574074074072,0.04188000000000001,25
OpenJijSA,500,0.01,100000000.0,1,0.0,0.24,1.593981481481481,0.0412,25
OpenJijSA,500,0.01,1000000000.0,1,0.0,0.16,1.567361111111111,0.041280000000000004,25
OpenJijSA,500,0.1,0.1,1,0.0,0.0,,0.05279999999999999,25
OpenJijSA,500,0.1,0.3,1,0.0,0.0,,0.04484,25
OpenJijSA,500,0.1,0.5,1,0.0,0.32,1.6321889701803713,0.043480000000000005,25
OpenJijSA,500,0.1,1.0,1,0.0,0.4,1.47034188034188,0.04236000000000001,25
OpenJijSA,500,0.1,5.0,1,0.0,0.44,1.4468790468790464,0.03988,25
OpenJijSA,500,0.1,10.0,1,0.0,0.4,1.4819230769230767,0.0394,25
OpenJijSA,500,0.1,100.0,1,0.0,0.48,1.556920702754036,0.04048,25
OpenJijSA,500,0.1,1000.0,1,0.0,0.32,1.557060185185185,0.0394,25
OpenJijSA,500,0.1,10000.0,1,0.0,0.24,1.4371913580246911,0.03904,25
OpenJijSA,500,0.1,100000.0,1,0.0,0.28,1.4847883597883593,0.03976,25
OpenJijSA,500,0.1,1000000.0,1,0.0,0.24,1.6043566001899332,0.03967999999999999,25
OpenJijSA,500,0.1,10000000.0,1,0.0,0.32,1.6022702991452986,0.038,25
OpenJijSA,500,0.1,100000000.0,1,0.0,0.2,1.5524074074074075,0.038079999999999996,25
OpenJijSA,500,0.1,1000000000.0,1,0.0,0.28,1.5538359788359786,0.03884,25
