n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-05,10.0,False,linear,default,999,1139.0,False,,0.015
25,151,0.0001,0.0001,False,linear,default,42,26151.0,False,,0.158
25,151,0.0001,0.0001,False,linear,default,123,22674.0,False,,0.157
25,151,0.0001,0.0001,False,linear,default,456,26777.0,False,,0.158
25,151,0.0001,0.0001,False,linear,default,789,20995.0,False,,0.155
25,151,0.0001,0.0001,False,linear,default,999,25474.0,False,,0.158
25,151,0.0001,0.001,False,linear,default,42,18595.0,False,,0.158
25,151,0.0001,0.001,False,linear,default,123,18951.0,False,,0.162
25,151,0.0001,0.001,False,linear,default,456,19990.0,False,,0.161
25,151,0.0001,0.001,False,linear,default,789,17236.0,False,,0.162
25,151,0.0001,0.001,False,linear,default,999,16542.0,False,,0.155
25,151,0.0001,0.01,False,linear,default,42,5866.0,False,,0.148
25,151,0.0001,0.01,False,linear,default,123,5193.0,False,,0.145
25,151,0.0001,0.01,False,linear,default,456,5177.0,False,,0.143
25,151,0.0001,0.01,False,linear,default,789,5004.0,False,,0.15
25,151,0.0001,0.01,False,linear,default,999,5459.0,False,,0.145
25,151,0.0001,0.1,False,linear,default,42,2088.0,False,,0.114
25,151,0.0001,0.1,False,linear,default,123,2117.0,False,,0.112
25,151,0.0001,0.1,False,linear,default,456,2064.0,False,,0.108
25,151,0.0001,0.1,False,linear,default,789,2139.0,False,,0.108
25,151,0.0001,0.1,False,linear,default,999,1897.0,False,,0.11
25,151,0.0001,1.0,False,linear,default,42,999.0,False,,0.061
25,151,0.0001,1.0,False,linear,default,123,1004.0,False,,0.061
25,151,0.0001,1.0,False,linear,default,456,1019.0,False,,0.059
25,151,0.0001,1.0,False,linear,default,789,1011.0,False,,0.06
25,151,0.0001,1.0,False,linear,default,999,994.0,False,,0.059
25,151,0.0001,10.0,False,linear,default,42,1187.0,False,,0.014
25,151,0.0001,10.0,False,linear,default,123,1168.0,False,,0.017
25,151,0.0001,10.0,False,linear,default,456,1195.0,False,,0.016
25,151,0.0001,10.0,False,linear,default,789,1181.0,False,,0.012
25,151,0.0001,10.0,False,linear,default,999,1214.0,False,,0.016
25,151,0.001,0.001,False,linear,default,42,18913.0,False,,0.157
25,151,0.001,0.001,False,linear,default,123,16842.0,False,,0.16
25,151,0.001,0.001,False,linear,default,456,17628.0,False,,0.155
25,151,0.001,0.001,False,linear,default,789,18680.0,False,,0.156
25,151,0.001,0.001,False,linear,default,999,15806.0,False,,0.157
25,151,0.001,0.01,False,linear,default,42,5416.0,False,,0.15
25,151,0.001,0.01,False,linear,default,123,5395.0,False,,0.14
25,151,0.001,0.01,False,linear,default,456,5339.0,False,,0.147
25,151,0.001,0.01,False,linear,default,789,5588.0,False,,0.147
25,151,0.001,0.01,False,linear,default,999,5743.0,False,,0.141
25,151,0.001,0.1,False,linear,default,42,2061.0,False,,0.11
25,151,0.001,0.1,False,linear,default,123,2187.0,False,,0.113
25,151,0.001,0.1,False,linear,default,456,2118.0,False,,0.11
25,151,0.001,0.1,False,linear,default,789,2180.0,False,,0.112
25,151,0.001,0.1,False,linear,default,999,2059.0,False,,0.109
25,151,0.001,1.0,False,linear,default,42,1006.0,False,,0.058
25,151,0.001,1.0,False,linear,default,123,1032.0,False,,0.059
25,151,0.001,1.0,False,linear,default,456,989.0,False,,0.061
25,151,0.001,1.0,False,linear,default,789,998.0,False,,0.063
25,151,0.001,1.0,False,linear,default,999,1010.0,False,,0.06
25,151,0.001,10.0,False,linear,default,42,1118.0,False,,0.015
25,151,0.001,10.0,False,linear,default,123,1208.0,False,,0.017
25,151,0.001,10.0,False,linear,default,456,1182.0,False,,0.016
25,151,0.001,10.0,False,linear,default,789,1159.0,False,,0.014
25,151,0.001,10.0,False,linear,default,999,1092.0,False,,0.016
25,151,0.01,0.01,False,linear,default,42,5018.0,False,,0.142
25,151,0.01,0.01,False,linear,default,123,5484.0,False,,0.141
25,151,0.01,0.01,False,linear,default,456,5358.0,False,,0.133
25,151,0.01,0.01,False,linear,default,789,5618.0,False,,0.136
25,151,0.01,0.01,False,linear,default,999,5705.0,False,,0.141
25,151,0.01,0.1,False,linear,default,42,2011.0,False,,0.105
25,151,0.01,0.1,False,linear,default,123,2023.0,False,,0.107
25,151,0.01,0.1,False,linear,default,456,2054.0,False,,0.104
25,151,0.01,0.1,False,linear,default,789,2115.0,False,,0.105
25,151,0.01,0.1,False,linear,default,999,2088.0,False,,0.107
25,151,0.01,1.0,False,linear,default,42,1007.0,False,,0.06
25,151,0.01,1.0,False,linear,default,123,1000.0,False,,0.061
25,151,0.01,1.0,False,linear,default,456,992.0,False,,0.059
25,151,0.01,1.0,False,linear,default,789,993.0,False,,0.058
25,151,0.01,1.0,False,linear,default,999,994.0,False,,0.061
25,151,0.01,10.0,False,linear,default,42,1161.0,False,,0.012
25,151,0.01,10.0,False,linear,default,123,1181.0,False,,0.015
25,151,0.01,10.0,False,linear,default,456,1183.0,False,,0.014
25,151,0.01,10.0,False,linear,default,789,1190.0,False,,0.017
25,151,0.01,10.0,False,linear,default,999,1168.0,False,,0.015
25,151,0.1,0.1,False,linear,default,42,2071.0,False,,0.082
25,151,0.1,0.1,False,linear,default,123,2093.0,False,,0.084
25,151,0.1,0.1,False,linear,default,456,2137.0,False,,0.085
25,151,0.1,0.1,False,linear,default,789,2144.0,False,,0.084
25,151,0.1,0.1,False,linear,default,999,2114.0,False,,0.082
25,151,0.1,1.0,False,linear,default,42,995.0,False,,0.055
25,151,0.1,1.0,False,linear,default,123,1007.0,False,,0.065
25,151,0.1,1.0,False,linear,default,456,997.0,False,,0.054
25,151,0.1,1.0,False,linear,default,789,1009.0,False,,0.052
25,151,0.1,1.0,False,linear,default,999,996.0,False,,0.053
25,151,0.1,10.0,False,linear,default,42,1208.0,False,,0.014
25,151,0.1,10.0,False,linear,default,123,1272.0,False,,0.014
25,151,0.1,10.0,False,linear,default,456,1225.0,False,,0.015
25,151,0.1,10.0,False,linear,default,789,1208.0,False,,0.012
