n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
25,152,45,1020.0,True,1020.0,976,1.0450819672131149,0.045081967213114756,15.144,PathIntegralAnnealingSampler
25,146,46,978.0,False,,924,,,15.222,PathIntegralAnnealingSampler
25,158,47,1103.0,True,1103.0,1065,1.035680751173709,0.03568075117370892,14.739,PathIntegralAnnealingSampler
25,140,48,931.0,False,,912,,,14.87,PathIntegralAnnealingSampler
25,131,49,900.0,False,,833,,,15.254,PathIntegralAnnealingSampler
25,151,50,1014.0,False,,970,,,14.967,PathIntegralAnnealingSampler
25,160,51,1104.0,False,,1064,,,14.521,PathIntegralAnnealingSampler
25,154,52,1054.0,False,,1001,,,14.534,PathIntegralAnnealingSampler
25,157,53,1063.0,True,1063.0,1030,1.0320388349514562,0.03203883495145631,14.72,PathIntegralAnnealingSampler
25,128,54,817.0,True,817.0,791,1.0328697850821744,0.03286978508217446,14.746,PathIntegralAnnealingSampler
25,156,55,1088.0,False,,1022,,,14.893,PathIntegralAnnealingSampler
25,149,56,1015.0,False,,954,,,14.503,PathIntegralAnnealingSampler
25,154,57,1030.0,False,,986,,,11.086,PathIntegralAnnealingSampler
25,145,58,1000.0,False,,956,,,15.016,PathIntegralAnnealingSampler
25,152,59,1040.0,True,1040.0,1008,1.0317460317460319,0.031746031746031744,10.183,PathIntegralAnnealingSampler
25,163,60,1107.0,False,,1090,,,7.529,PathIntegralAnnealingSampler
25,149,61,979.0,False,,962,,,7.51,PathIntegralAnnealingSampler
25,151,62,1006.0,False,,976,,,7.543,PathIntegralAnnealingSampler
25,149,63,962.0,False,,945,,,7.899,PathIntegralAnnealingSampler
25,157,64,1051.0,False,,992,,,7.482,PathIntegralAnnealingSampler
25,170,65,1192.0,False,,1135,,,7.511,PathIntegralAnnealingSampler
25,152,66,1039.0,False,,1028,,,7.462,PathIntegralAnnealingSampler
25,145,67,983.0,True,983.0,967,1.016546018614271,0.016546018614270942,7.837,PathIntegralAnnealingSampler
25,157,68,1086.0,False,,1033,,,7.55,PathIntegralAnnealingSampler
25,157,69,1105.0,False,,1051,,,7.473,PathIntegralAnnealingSampler
25,161,70,1150.0,False,,1078,,,8.039,PathIntegralAnnealingSampler
25,170,71,1262.0,False,,1169,,,7.649,PathIntegralAnnealingSampler
25,156,72,1100.0,False,,1049,,,7.82,PathIntegralAnnealingSampler
25,158,73,1110.0,False,,1072,,,7.82,PathIntegralAnnealingSampler
25,150,74,1026.0,False,,978,,,7.546,PathIntegralAnnealingSampler
